sampleid,doi,doilink,TF_mat_complete,relerr_mean,relerr_L1,relerr_L2,relerr_L3,relerr_L4,relerr_Linf,relerr_Max,relerr_Min,Tc_Ts_TEP,Tc_Ts_ZT,Tc_Ts_TEPZT,Th_Ts_TEP,Th_Ts_ZT,Th_Ts_TEPZT,avgZ_raw_on_Ts_ZT,avgZ_TEP_on_Ts_TEP,peakZ_raw_on_Ts_ZT,peakZ_TEP_on_Ts_TEP,davgZ,dpeakZ,avgZT_raw_on_Ts_ZT,avgZT_TEP_on_Ts_TEP,peakZT_raw_on_Ts_ZT,peakZT_TEP_on_Ts_TEP,davgZT,dpeakZT
11,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,True,0.039604006918515254,0.04302516146803412,0.04958585397752299,0.05652082761843876,0.0638436635281122,0.1519413559507779,0.1519413559507779,-0.05198315541166588,307.0,304.0,307.0,899.0,899.0,899.0,0.0012253305440915905,0.001184863449323221,0.0018461218642941803,0.0017724745409598097,4.046709476836956e-05,7.36473233343706e-05,0.813881716039293,0.7880715672880678,1.3901540867962467,1.3328187555491682,0.025810148751225226,0.05733533124707857
12,10.1126/science.aaa4166,https://doi.org/10.1126/science.aaa4166,True,0.018586667332000345,0.01890961211247208,0.022392473099387904,0.02491966281668534,0.026813221642196815,0.04125017631301965,0.04125017631301965,-0.006443721612634475,300.0,299.0,300.0,480.0,480.0,480.0,0.0038633367957232583,0.0037975123859120175,0.005800956597807758,0.005783744926663543,6.582440981124085e-05,1.721167114421447e-05,1.428335020687645,1.4045429277877979,1.85714,1.8471287811282817,0.023792092899847184,0.010011218871718297
13,10.1038/ncomms10287,https://doi.org/10.1038/ncomms10287,True,-0.03154386576869532,0.04143268154312312,0.050052112969877396,0.056040265235919574,0.06059230028857078,0.10869638253927376,0.08088636833779553,-0.10869638253927376,305.0,300.0,305.0,651.0,650.0,650.0,0.0013249546972378338,0.001380488290352712,0.0016652182956814151,0.0018180350492838335,-5.5533593114878146e-05,-0.00015281675360241838,0.6626490714642785,0.6936488266820572,0.994876033057851,1.07766877243387,-0.030999755217778646,-0.08279273937601905
14,10.1002/aenm.201100149,https://doi.org/10.1002/aenm.201100149,True,0.013309310137188222,0.013309310137188222,0.014385107061744368,0.01533446552329728,0.016166725755823817,0.025665633717306728,0.025665633717306728,0.0019913797096685524,302.0,302.0,302.0,523.0,524.0,523.0,0.002439254285426866,0.0024129802582738336,0.003010294701986755,0.002980568781491938,2.627402715303217e-05,2.9725920494817065e-05,0.9774077137278809,0.9655779467663101,1.0597071248237115,1.0576010395725823,0.011829766961570787,0.0021060852511292083
15,10.1103/PhysRevLett.108.166601,https://doi.org/10.1103/PhysRevLett.108.166601,True,-0.0024630732989904254,0.009362558099200521,0.011820638410782259,0.014260399526549205,0.01671640338685541,0.04644047293807914,0.04644047293807914,-0.024201723487489377,303.0,300.0,303.0,798.0,798.0,798.0,0.0018432794889246841,0.001850454185222526,0.002028812649913361,0.0020536577815608754,-7.17469629784185e-06,-2.4845131647514406e-05,1.0175432104066753,1.0256669291482337,1.332909227742511,1.365709938954938,-0.008123718741558372,-0.032800711212427114
16,10.1038/am.2016.67,https://doi.org/10.1038/am.2016.67,True,0.003472591931287608,0.003847194462767726,0.0047223164385689215,0.005400034724672006,0.005942633184072326,0.011410595614501813,0.011410595614501813,-0.003637949274633467,322.0,322.0,322.0,573.0,574.0,573.0,0.0022297844940792197,0.0022245463396539816,0.002444671009632788,0.0024406175269086464,5.238154425238079e-06,4.0534827241414315e-06,0.9853393433718222,0.9820930947341019,1.1037112932259592,1.0915002325642058,0.0032462486377202726,0.01221106066175337
17,10.1038/nature09996,https://doi.org/10.1038/nature09996,True,0.0064624144612114645,0.010755701713527768,0.017039265621199107,0.02352844131240083,0.02915550845602228,0.0714829673920063,0.0714829673920063,-0.023687710384580223,299.0,301.0,301.0,848.0,850.0,848.0,0.0015186028297996903,0.0015091771439092363,0.0022203841543909533,0.0022186674359761785,9.425685890453997e-06,1.716718414774849e-06,0.9733179621381792,0.9669352530974125,1.7532852151114782,1.779639254918565,0.006382709040766765,-0.026354039807086727
18,10.1039/c0ee00456a,https://doi.org/10.1039/c0ee00456a,True,-0.01475600897560934,0.020571654218011718,0.027101346163259384,0.032506819330713976,0.03686108897855886,0.07134279961153561,0.06838653822213707,-0.07134279961153561,300.0,298.0,300.0,750.0,751.0,750.0,0.0014147190796056789,0.00144000096713714,0.0020897681868241457,0.0021081157238909513,-2.528188753146113e-05,-1.834753706680568e-05,0.8214203891228009,0.8359460227577107,1.48542,1.552553372229571,-0.014525633634909774,-0.06713337222957105
19,10.1126/science.1156446,https://doi.org/10.1126/science.1156446,True,0.0022471878612886644,0.007485325176841826,0.008866190095399386,0.009895614016591003,0.010674207919621802,0.01641672837244009,0.01641672837244009,-0.014036556238660073,299.0,298.0,299.0,525.0,525.0,525.0,0.003128929890620801,0.0031216684843888586,0.003994481644687163,0.004016385730607296,7.261406231942342e-06,-2.190408592013266e-05,1.2356520834488902,1.233821991213059,1.4401192292268206,1.4347087026609828,0.0018300922358311933,0.005410526565837737
20,10.1038/nature08088,https://doi.org/10.1038/nature08088,True,0.000958224612129954,0.12221164161729624,0.18382137804447327,0.25527266548961786,0.3175005589120231,0.8117233708964668,0.8117233708964668,-0.15320558633568346,323.0,323.0,323.0,694.0,706.0,694.0,0.0007385197423625784,0.0007510440607888904,0.0020987806380096032,0.0021355926178277668,-1.2524318426311988e-05,-3.6811979818163545e-05,0.4524799034022062,0.45391680397703044,1.48173913043478,1.4821012767724702,-0.0014369005748242625,-0.00036214633769016125
21,10.1038/nmat1154,https://doi.org/10.1038/nmat1154,False,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10.1038/35098012,https://doi.org/10.1038/35098012,False,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10.1073/pnas.1403601111,https://doi.org/10.1073/pnas.1403601111,True,0.047146592509315105,0.047146592509315105,0.049501525165989664,0.05158881827342079,0.053417128633759685,0.07641489726571782,0.07641489726571782,0.018995981992301795,321.0,322.0,322.0,759.0,774.0,759.0,0.0018724145032867057,0.0017686195086839128,0.0026736834088877926,0.0026111184282377863,0.00010379499460279286,6.256498065000627e-05,1.120665997963219,1.0460386752567066,2.01094,1.9368980428029876,0.0746273227065124,0.07404195719701256
24,10.1038/ncomms10892,https://doi.org/10.1038/ncomms10892,False,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10.1021/ja306527n,https://doi.org/10.1021/ja306527n,True,-0.05074569251461362,0.09560769773518475,0.10820706949052968,0.11890364092058497,0.12802757602653628,0.2094777555702567,0.0819856729896319,-0.2094777555702567,303.0,300.0,303.0,930.0,931.0,930.0,0.0007740320191931732,0.000788185654997033,0.0014032232495346357,0.0013629496449739595,-1.4153635803859795e-05,4.027360456067622e-05,0.5446547028624229,0.543751504122636,1.30522088353413,1.2675431698257822,0.0009031987397869479,0.037677713708347715
26,10.1021/ja301772w,https://doi.org/10.1021/ja301772w,True,0.3083333894219611,0.3083333894219611,0.33904141161821344,0.37602049494970213,0.41531469105224494,0.8405497691891101,0.8405497691891101,0.17649908786105548,303.0,303.0,303.0,932.0,931.0,931.0,0.0008855839638355978,0.0007034106072867021,0.0013107107945817531,0.0011137833715665873,0.00018217335654889576,0.00019692742301516582,0.6020454984428388,0.4864059572363586,1.21968031968031,1.0380461023000593,0.11563954120648023,0.18163421738025076
27,10.1038/nature13184,https://doi.org/10.1038/nature13184,True,-0.040247411483081634,0.0813925169608586,0.10826446207041492,0.12646330310805237,0.1396163122555616,0.22612279170341307,0.13144187598187404,-0.22612279170341307,302.0,298.0,302.0,971.0,973.0,971.0,0.0012159854563251284,0.0012128327861717304,0.00287849040448527,0.002889273927810662,3.152670153398025e-06,-1.0783523325392022e-05,0.9567831699858859,0.9464082472152736,2.6167583726058967,2.6662672430300716,0.01037492277061225,-0.049508870424174845
28,10.1126/science.aad3749,https://doi.org/10.1126/science.aad3749,True,0.027798829167778292,0.027798829167778292,0.029145211076283293,0.030353997466945414,0.0314202648671788,0.044711968223930594,0.044711968223930594,0.008809423080961182,304.0,300.0,304.0,773.0,774.0,773.0,0.002852881564807889,0.0027803986284524337,0.0030100299178117992,0.002982997207889922,7.248293635545543e-05,2.703270992187711e-05,1.5400310407219902,1.5046214836524203,2.0467778632850426,2.008977221073179,0.03540955706956983,0.03780064221186352
29,10.1063/1.4807771,https://doi.org/10.1063/1.4807771,False,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10.1063/1.4807771,https://doi.org/10.1063/1.4807771,False,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.1016/j.jssc.2006.12.010,https://doi.org/10.1016/j.jssc.2006.12.010,True,0.0012343795989317808,0.0012525344854498628,0.0014166836331494475,0.0015393239953721484,0.0016387917228809046,0.0025591901952183925,0.0025591901952183925,-0.00036374353922863324,319.0,318.0,319.0,505.0,505.0,505.0,0.0018167405241560624,0.0018143976561089288,0.001875653752089717,0.001871558619354794,2.3428680471335346e-06,4.095132734923063e-06,0.7461407259735232,0.746082216120837,0.856023506366307,0.8559383889261054,5.8509852686183805e-05,8.511744020156531e-05
32,10.1016/j.jallcom.2007.05.063,https://doi.org/10.1016/j.jallcom.2007.05.063,True,0.006680299700306831,0.006959675349579482,0.007674631009112945,0.008236034702837854,0.008703358026649703,0.014869373092960155,0.014869373092960155,-0.006273583687499424,319.0,318.0,319.0,534.0,534.0,534.0,0.0018409973616294098,0.0018255908233805514,0.0023940578212541374,0.0023746380974026112,1.5406538248858388e-05,1.9419723851526148e-05,0.7548820212611215,0.7497314281967485,0.863016710267472,0.8587414791669091,0.0051505930643729325,0.004275231100562826
33,10.3938/jkps.66.1726,https://doi.org/10.3938/jkps.66.1726,True,-0.017135418875578932,0.017135418875578932,0.01881747098194828,0.0199956150959722,0.020867381263700684,0.03319605688850175,-0.005195222716091492,-0.03319605688850175,322.0,323.0,323.0,523.0,524.0,523.0,0.0015950032276461227,0.0016242696678791825,0.0017254358520063262,0.001739423179746792,-2.9266440233059873e-05,-1.398732774046587e-05,0.668128244371732,0.6795893562993819,0.7287410215128938,0.7433128012797604,-0.01146111192764987,-0.014571779766866633
34,10.1063/1.3427427,https://doi.org/10.1063/1.3427427,True,0.005392043925904901,0.005693270023394062,0.006607427362105107,0.007331513628596007,0.007929335270627393,0.013155619243405489,0.013155619243405489,-0.0044741513889780425,302.0,303.0,303.0,513.0,513.0,513.0,0.003580014734969773,0.0035715994238711833,0.005687593266761104,0.00564565842654001,8.415311098589496e-06,4.193484022109364e-05,1.3759707029142876,1.370497919306805,1.8018702155189772,1.7840280627866432,0.005472783607482601,0.017842152732334027
35,10.1039/c3ra23197f,https://doi.org/10.1039/c3ra23197f,True,-0.03740087481831609,0.03740087481831609,0.044328607759970357,0.05027648892820529,0.05495374210549778,0.09179908264573951,-0.01133815680297739,-0.09179908264573951,324.0,316.0,324.0,512.0,512.0,512.0,0.0007289138568294922,0.000771742411048088,0.000943041015625,0.0010383616638179958,-4.2828554218595784e-05,-9.532064819299578e-05,0.30984613286703744,0.3311937678538531,0.482837,0.5316411718748139,-0.02134763498681569,-0.04880417187481384
36,Enhancing Figure of Merit of Bi0.5Sb1.5Te3 Through Nano-composite Approach,https://doi.org/Enhancing Figure of Merit of Bi0.5Sb1.5Te3 Through Nano-composite Approach,True,0.005739114324882291,0.005773644472024363,0.006065079060128821,0.006295899345181082,0.006490808562895025,0.008939965624837268,0.008939965624837268,-0.0017437724306746264,301.0,300.0,301.0,401.0,401.0,401.0,0.0036694531021330217,0.003648772000082474,0.003736002669296088,0.0037264177053591965,2.0681102050547524e-05,9.58496393689166e-06,1.2859223246428884,1.2806500134855352,1.4181954160222703,1.4094305960682814,0.00527231115735316,0.008764819953988923
37,10.1002/aenm.201401391,https://doi.org/10.1002/aenm.201401391,True,0.0044845777325507345,0.005575090167574614,0.007015046849210136,0.008033519197434323,0.008784717285252147,0.01580977560752417,0.01580977560752417,-0.007779547680147798,300.0,300.0,300.0,500.0,501.0,500.0,0.002534862081077639,0.0025341688714063883,0.0037481265496545637,0.0037285641586736716,6.932096712508086e-07,1.956239098089207e-05,0.960875813363304,0.9597348619757123,1.2265014859521333,1.2284807006253837,0.0011409513875916266,-0.0019792146732504623
38,10.1002/aenm.201500411,https://doi.org/10.1002/aenm.201500411,True,0.0017444779738276567,0.003883761194800491,0.005101705586847252,0.005979326542594757,0.006679813486163778,0.01468364506035357,0.01468364506035357,-0.010712857290639028,299.0,298.0,299.0,531.0,532.0,531.0,0.0025749743136304027,0.002570993135786527,0.003684697986577181,0.003636441185569736,3.9811778438756e-06,4.825680100744483e-05,1.015621761627629,1.0150289393541732,1.1871782129436326,1.1955728531306813,0.0005928222734559174,-0.008394640187048719
39,10.1007/s11664-012-2280-6,https://doi.org/10.1007/s11664-012-2280-6,True,0.004203700156135206,0.004409806939195513,0.004796257709703891,0.00506558039789425,0.005275951551406457,0.008635583219311863,0.008635583219311863,-0.002712490316914327,310.0,309.0,310.0,443.0,444.0,443.0,0.0034096863613959326,0.0033963163825595282,0.004746051779935275,0.004690805692858099,1.3369978836404346e-05,5.5246087077175446e-05,1.2490915491551622,1.2452526854552255,1.4700610653643877,1.4634790650050296,0.00383886369993669,0.006582000359358187
40,10.1039/c3ta12623d,https://doi.org/10.1039/c3ta12623d,True,-0.018834655014488482,0.018834655014488482,0.02106850116715936,0.022887136578529064,0.024339233541030528,0.03916015906971149,-0.004055164231502532,-0.03916015906971149,300.0,301.0,301.0,480.0,481.0,480.0,0.0019166177560647408,0.001958640556282313,0.002106532809528661,0.0021653660297491647,-4.2022800217572176e-05,-5.8833220220503614e-05,0.7395065203639679,0.7531255795699173,0.7999155466620063,0.8031725432310417,-0.013619059205949413,-0.003256996569035442
41,10.1002/adfm.201402663,https://doi.org/10.1002/adfm.201402663,True,0.0006552626881489512,0.003376898483423015,0.005467968503667738,0.007450702126755168,0.009064061279717888,0.020201144364759237,0.020201144364759237,-0.008325600660742139,298.0,298.0,298.0,473.0,473.0,473.0,0.001205084483387484,0.001205025033862078,0.0016253638138334849,0.001634989919240149,5.9449525406001305e-08,-9.626105406664075e-06,0.47918411098132,0.4792520431185585,0.767453,0.7632766870476766,-6.793213723849112e-05,0.004176312952323458
42,10.1063/1.1863440,https://doi.org/10.1063/1.1863440,True,0.013422121335801061,0.013583485608390186,0.015566795303498535,0.017107600205998295,0.018344690944723942,0.030155123367674796,0.030155123367674796,-0.0038730159966055056,308.0,307.0,308.0,508.0,508.0,508.0,0.0022226448522192936,0.002192618645292627,0.002386045562179037,0.002336924400416054,3.002620692666661e-05,4.912116176298328e-05,0.8985755169884057,0.8880350050003054,1.0087684735481304,1.0062136136574134,0.010540511988100243,0.0025548598907170206
43,10.3365/eml.2010.12.201,https://doi.org/10.3365/eml.2010.12.201,True,0.023288885613914827,0.023288885613914827,0.025747232628068977,0.02796885795620336,0.029971454952922583,0.04795952505075773,0.04795952505075773,0.001426037300574794,322.0,322.0,322.0,573.0,574.0,573.0,0.0021988385818824587,0.0021605650063267726,0.003363229813664596,0.003320332978936249,3.827357555568614e-05,4.289683472834694e-05,0.9229198243452819,0.9057489266689123,1.2034842183048433,1.178403356780818,0.01717089767636959,0.025080861524025222
44,10.1007/s11664-012-2356-3,https://doi.org/10.1007/s11664-012-2356-3,True,0.002887998524069043,0.008329815010820998,0.010472609519758112,0.012259564165016576,0.013744227814071065,0.027767262505813867,0.027767262505813867,-0.01039250246037748,321.0,319.0,321.0,521.0,520.0,520.0,0.0026489745758087806,0.002624955364548214,0.003765924764890282,0.003689785903589671,2.4019211260566456e-05,7.613886130061103e-05,1.0690813082097128,1.0635532100483631,1.2305166625621955,1.2227800683009147,0.005528098161349693,0.007736594261280816
45,10.1039/c3ce40643a,https://doi.org/10.1039/c3ce40643a,True,0.0009763918812128247,0.007702257666432859,0.009478781490801353,0.011024809849152295,0.012267663525134663,0.02056977451749793,0.02056977451749793,-0.016456344657314187,298.0,296.0,298.0,465.0,469.0,465.0,0.0005678959447521363,0.0005699842225043433,0.0006071350942010872,0.0006071947561232746,-2.088277752207001e-06,-5.966192218737065e-08,0.21698896896158118,0.21710895932910523,0.24422002694533207,0.24206096078761627,-0.00011999036752405323,0.0021590661577158
46,10.1021/nl101156v,https://doi.org/10.1021/nl101156v,True,0.009654534966385386,0.01263450481405498,0.014700009080358668,0.016473536798086857,0.01794326179245364,0.029648332228932123,0.029648332228932123,-0.010901318060531066,297.0,296.0,297.0,524.0,526.0,524.0,0.0022773688423160647,0.0022660348717413485,0.003057337837837838,0.0029832730996411125,1.1333970574716173e-05,7.406473819672552e-05,0.893919399009179,0.8893534523757379,1.0362489636752927,1.0475391524151654,0.00456594663344112,-0.011290188739872642
47,10.1007/s11664-013-2822-6,https://doi.org/10.1007/s11664-013-2822-6,True,-0.0009802493849704272,0.00255886930756077,0.0030289535670407885,0.003509849434331844,0.004014235823960519,0.010059062174386433,0.003994478052833255,-0.010059062174386433,323.0,321.0,323.0,523.0,524.0,523.0,0.0020064555812452727,0.002007686984416341,0.0023379719626168225,0.002326909347909354,-1.2314031710681204e-06,1.1062614707468572e-05,0.8314402749664331,0.8336384925662342,0.8926551059427937,0.8956184958703047,-0.0021982175998011,-0.0029633899275109954
48,10.3938/jkps.64.1416,https://doi.org/10.3938/jkps.64.1416,True,-0.004485920500733692,0.006449321361594653,0.007528971768766883,0.008259268379487438,0.008835276085576734,0.016550974084425546,0.014225524847110467,-0.016550974084425546,322.0,322.0,322.0,524.0,523.0,523.0,0.0013503358651957233,0.0013543747485808841,0.0015626863354037267,0.0015407681005063386,-4.038883385160856e-06,2.191823489738811e-05,0.5616003251946001,0.56403721675378,0.597125082,0.6029069341330914,-0.002436891559179921,-0.0057818521330913475
49,10.3938/jkps.65.696,https://doi.org/10.3938/jkps.65.696,True,-0.00719149082236728,0.011648199228838136,0.015237017822175881,0.0176016437455323,0.019341979013367917,0.03401304343389172,0.014961810213336969,-0.03401304343389172,322.0,322.0,322.0,523.0,524.0,523.0,0.002562231743692793,0.0025816932177731068,0.002878354037267081,0.0028412791173980795,-1.9461474080313765e-05,3.7074919869001504e-05,1.0669432977198625,1.0758091829141583,1.137301694255112,1.1773468435826437,-0.008865885194295764,-0.04004514932753178
50,10.1007/s11664-014-3485-7,https://doi.org/10.1007/s11664-014-3485-7,False,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10.3938/jkps.64.1692,https://doi.org/10.3938/jkps.64.1692,True,-0.004971189357603463,0.013705245096112824,0.016708425767375575,0.018822200615152967,0.02038013819434821,0.03496726193915925,0.01989360876413787,-0.03496726193915925,322.0,321.0,322.0,523.0,523.0,523.0,0.002018608520357496,0.0020230919348003416,0.0023498940809968845,0.0023002645411565976,-4.483414442845498e-06,4.9629539840286875e-05,0.8355364504398275,0.8401217883102682,0.9016736216322362,0.8952185918305435,-0.004585337870440687,0.006455029801692658
52,10.1002/aenm.201100338,https://doi.org/10.1002/aenm.201100338,True,-0.0011538968055648034,0.0014162728056084936,0.001774246662136935,0.0020558742037711597,0.0022775528297751886,0.004114122971645927,0.0017357920022170546,-0.004114122971645927,303.0,302.0,303.0,423.0,424.0,423.0,0.0011937985404760845,0.0011962749758059328,0.0012638980023322187,0.001266589556301232,-2.4764353298482953e-06,-2.691553969013218e-06,0.43106653148983065,0.43198717985270557,0.45264788103651354,0.4523927573845394,-0.0009206483628749207,0.0002551236519741651
53,10.1063/1.4749806,https://doi.org/10.1063/1.4749806,True,-0.037146368426959966,0.037146368426959966,0.037950733109110756,0.038790317589071685,0.03966801161161495,0.061664540092947626,-0.022075810126560427,-0.061664540092947626,307.0,307.0,307.0,526.0,527.0,526.0,0.002005160439382004,0.002086046733532245,0.002448814332247557,0.0026097429297728195,-8.088629415024112e-05,-0.00016092859752526263,0.813201821488563,0.8450847600912671,0.869643,0.904710631660691,-0.03188293860270408,-0.035067631660690934
54,10.1002/adma.201203764,https://doi.org/10.1002/adma.201203764,True,0.005993735438444183,0.006195758480262847,0.007266071409679426,0.007916139047508118,0.008362745983895048,0.01203286740564771,0.01203286740564771,-0.0016424152197626319,305.0,304.0,305.0,480.0,480.0,480.0,0.0016491049060343703,0.0016396342877773077,0.0017306585560047326,0.0017155216700864902,9.470618257062654e-06,1.5136885918242424e-05,0.6438232258537637,0.6411010953487974,0.705882,0.7033382187276308,0.0027221305049662803,0.0025437812723692055
55,10.3390/ma8030959,https://doi.org/10.3390/ma8030959,True,0.011339617788440375,0.012463812466821184,0.01906888778837702,0.023968288282552243,0.027396216197806706,0.04555626831222695,0.04555626831222695,-0.005466338110629478,302.0,302.0,302.0,484.0,487.0,484.0,0.002500088421122917,0.0025019484844378955,0.0036060927152317883,0.0035642900400305053,-1.8600633149784898e-06,4.180267520128298e-05,0.9481497230632567,0.9459231166159741,1.0973895179913102,1.0914872882080822,0.002226606447282675,0.005902229783228075
56,10.1063/1.4916947,https://doi.org/10.1063/1.4916947,True,-0.009118067097262438,0.014229165131323603,0.01908998835106059,0.02298216607782623,0.026071887399595355,0.05073698619288095,0.03795264891130115,-0.05073698619288095,84.0,82.0,84.0,325.0,328.0,325.0,0.002755307419461054,0.0027921582567903163,0.0032246710542126102,0.0032147924990731415,-3.6850837329262514e-05,9.87855513946874e-06,0.5921708800125741,0.5997532568417819,0.965953,0.9577813743639756,-0.007582376829207815,0.00817162563602436
57,10.1063/1.4916947,https://doi.org/10.1063/1.4916947,True,-0.015221956713185502,0.020569644813726203,0.023919870819208836,0.0268651868613801,0.02952035887871695,0.06239336904771624,0.02338730272614169,-0.06239336904771624,84.0,85.0,85.0,338.0,340.0,338.0,0.002265857006394295,0.0022906118960753148,0.003250796227302018,0.003306134984977263,-2.4754889681019923e-05,-5.5338757675244855e-05,0.5401806274400097,0.5434875315165739,1.03043,1.0465264976252826,-0.003306904076564199,-0.016096497625282646
58,10.1039/c5tc02219c,https://doi.org/10.1039/c5tc02219c,False,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10.1038/srep03212,https://doi.org/10.1038/srep03212,True,0.16239139758195772,0.16344923582724813,0.31582600105719205,0.5047289321186871,0.6736978813993909,2.0422960793824596,2.0422960793824596,-0.029715427681304803,22.0,21.0,22.0,467.0,473.0,467.0,0.0015831984821677294,0.0014607342606339589,0.0024499406602174127,0.002372498123163201,0.00012246422153377057,7.744253705421191e-05,0.4737376834947692,0.4414409327786909,0.9429403677430437,0.9074933321327673,0.03229675071607829,0.0354470356102764
